CustomerID,Age,Gender,LoyaltyTier,PassengerType
C00001,47,M,Silver,Leisure
C00002,37,M,None,Business
C00003,49,F,None,Leisure
C00004,62,F,None,Leisure
C00005,36,M,Gold,Leisure
C00006,36,M,Platinum,Leisure
C00007,63,M,Silver,Leisure
C00008,51,F,None,Business
C00009,32,M,None,Leisure
C00010,48,M,None,Business
C00011,33,M,None,Business
C00012,33,F,Silver,Business
C00013,43,F,None,Leisure
C00014,18,F,None,Business
C00015,18,F,Silver,Leisure
C00016,31,F,None,Leisure
C00017,24,F,Silver,Leisure
C00018,44,M,None,Leisure
C00019,26,F,Gold,Leisure
C00020,18,F,Gold,Leisure
C00021,61,F,Gold,Business
C00022,36,M,None,Business
C00023,41,M,Platinum,Leisure
C00024,18,Other,None,Leisure
C00025,31,F,Gold,Leisure
C00026,41,F,None,Leisure
C00027,22,F,Platinum,Leisure
C00028,45,M,None,Leisure
C00029,30,M,Silver,Business
C00030,35,M,Platinum,Leisure
C00031,30,M,Silver,Business
C00032,67,F,Silver,Business
C00033,39,M,Silver,Business
C00034,24,M,Platinum,Business
C00035,52,M,Silver,Leisure
C00036,21,M,None,Business
C00037,43,M,None,Leisure
C00038,18,M,Silver,Leisure
C00039,20,M,None,Business
C00040,42,M,None,Leisure
C00041,51,M,Silver,Leisure
C00042,42,F,None,Leisure
C00043,38,M,None,Business
C00044,35,M,Silver,Leisure
C00045,18,M,Gold,Leisure
C00046,29,F,None,Leisure
C00047,33,M,None,Leisure
C00048,55,F,None,Business
C00049,45,M,Gold,Leisure
C00050,18,M,None,Business
C00051,44,M,None,Leisure
C00052,34,M,Gold,Leisure
C00053,29,F,None,Business
C00054,49,M,Gold,Business
C00055,55,F,None,Business
C00056,53,F,None,Business
C00057,27,M,None,Leisure
C00058,35,F,Silver,Business
C00059,44,F,None,Leisure
C00060,54,M,None,Leisure
C00061,32,M,Platinum,Leisure
C00062,37,M,None,Leisure
C00063,23,M,Silver,Leisure
C00064,22,M,Silver,Business
C00065,52,F,None,Leisure
C00066,60,F,None,Leisure
C00067,38,M,None,Leisure
C00068,55,M,None,Leisure
C00069,45,M,None,Leisure
C00070,30,M,Silver,Business
C00071,45,M,Platinum,Business
C00072,63,M,None,Leisure
C00073,39,M,Gold,Leisure
C00074,63,M,Gold,Leisure
C00075,18,M,None,Leisure
C00076,52,M,None,Leisure
C00077,41,M,None,Business
C00078,35,M,None,Business
C00079,41,M,None,Leisure
C00080,18,F,Silver,Leisure
C00081,36,F,Silver,Leisure
C00082,45,M,None,Leisure
C00083,62,M,None,Leisure
C00084,32,M,None,Business
C00085,27,M,None,Business
C00086,32,M,Silver,Leisure
C00087,53,M,None,Business
C00088,44,M,None,Leisure
C00089,32,F,None,Leisure
C00090,47,Other,None,Business
C00091,41,F,Silver,Leisure
C00092,54,F,Gold,Leisure
C00093,29,M,Silver,Leisure
C00094,35,F,Silver,Leisure
C00095,34,M,None,Leisure
C00096,18,Other,Gold,Leisure
C00097,44,F,None,Leisure
C00098,43,M,None,Leisure
C00099,40,F,None,Leisure
C00100,36,M,Silver,Leisure
C00101,18,M,None,Leisure
C00102,33,F,Silver,Leisure
C00103,34,M,None,Leisure
C00104,27,F,None,Leisure
C00105,37,M,Silver,Business
C00106,46,M,None,Leisure
C00107,68,F,Gold,Leisure
C00108,42,F,None,Leisure
C00109,43,M,None,Leisure
C00110,38,M,Gold,Leisure
C00111,18,F,None,Leisure
C00112,39,F,None,Leisure
C00113,40,M,Platinum,Business
C00114,76,F,None,Business
