FlightID,RouteID,DepartureDateTime,AircraftType,TotalCapacity,FlightStatus,FuelCost,CrewCost,AirportCost,OtherOperatingCost
F000001,R001,2025-01-01 06:30:00,Boeing 737,160,Delayed,12858.94,5067.05,2515.05,1392.18
F000002,R002,2025-01-01 19:00:00,Boeing 737,160,Completed,12506.34,4817.67,2403.03,1061.25
F000003,R003,2025-01-01 13:45:00,Airbus A320,180,Completed,10781.33,3509.8,2708.73,1198.14
F000004,R003,2025-01-01 16:30:00,Boeing 737,160,Completed,9574.92,3789.28,1653.32,879.93
F000005,R004,2025-01-01 17:30:00,Boeing 737,160,Completed,10619.49,3705.38,2959.67,878.53
F000006,R004,2025-01-01 15:30:00,Boeing 737,160,Completed,10568.4,3524.32,1841.85,789.39
F000007,R005,2025-01-01 13:00:00,Airbus A320,180,Completed,3121.93,1204.12,2047.25,870.18
F000008,R006,2025-01-01 14:00:00,Boeing 737,160,Completed,3289.31,1157.68,2193.39,769.95
F000009,R007,2025-01-01 16:00:00,Boeing 737,160,Completed,3752.4,1321.11,2101.75,566.19
F000010,R008,2025-01-01 12:45:00,Airbus A320,180,Completed,3796.74,1300.31,1714.31,639.63
F000011,R008,2025-01-01 14:45:00,Airbus A320,180,Completed,3428.19,1345.76,1707.5,993.52
F000012,R009,2025-01-01 09:15:00,Boeing 737,160,Completed,1088.58,371.09,1595.29,881.62
F000013,R010,2025-01-01 22:30:00,Boeing 737,160,Completed,1065.58,359.58,2827.18,1250.88
F000014,R010,2025-01-01 16:00:00,Airbus A320,180,Completed,1015.08,372.27,2930.72,1375.85
F000015,R001,2025-01-02 22:15:00,Boeing 737,160,Completed,14621.24,4850.23,2458.42,1108.97
F000016,R001,2025-01-02 10:30:00,Boeing 737,160,Completed,13719.71,5087.92,2295.53,500.57
F000017,R002,2025-01-02 21:00:00,Boeing 737,160,Completed,14780.72,5137.47,2747.5,807.51
F000018,R002,2025-01-02 07:15:00,Boeing 737,160,Completed,12484.44,4943.07,1603.82,1260.6
F000019,R003,2025-01-02 10:45:00,Boeing 737,160,Completed,9675.92,3829.5,2134.71,711.8
F000020,R004,2025-01-02 15:45:00,Airbus A320,180,Completed,10027.31,3698.49,1681.51,724.7
F000021,R005,2025-01-02 06:15:00,Boeing 737,160,Completed,2945.0,1212.69,1588.31,567.4
F000022,R005,2025-01-02 07:30:00,Boeing 737,160,Completed,3276.25,1161.68,2228.12,1039.23
F000023,R006,2025-01-02 13:45:00,Airbus A320,180,Completed,3064.71,1140.12,2146.58,923.58
F000024,R006,2025-01-02 20:00:00,Boeing 737,160,Completed,2979.9,1215.11,2700.89,609.27
F000025,R007,2025-01-02 12:45:00,Boeing 737,160,Completed,3470.42,1253.61,1874.71,1423.27
F000026,R008,2025-01-02 09:00:00,Boeing 737,160,Completed,3856.19,1336.66,2773.04,666.31
F000027,R008,2025-01-02 21:45:00,Boeing 737,160,Completed,3782.61,1333.59,1746.96,502.16
F000028,R009,2025-01-02 14:45:00,Airbus A320,180,Completed,1012.66,391.1,2993.13,1055.77
F000029,R009,2025-01-02 21:15:00,Boeing 737,160,Completed,986.68,391.53,2368.77,1042.2
F000030,R010,2025-01-02 07:00:00,Airbus A320,180,Completed,1029.09,387.19,1736.15,1460.78
F000031,R010,2025-01-02 08:15:00,Boeing 737,160,Completed,1048.05,380.55,1852.81,619.89
F000032,R001,2025-01-03 07:00:00,Airbus A320,180,Completed,14040.95,4982.29,1974.55,760.77
F000033,R002,2025-01-03 13:30:00,Airbus A320,180,Completed,12607.57,5022.02,2185.84,1429.02
F000034,R002,2025-01-03 08:00:00,Airbus A320,180,Completed,13942.36,4981.18,1649.97,1037.63
F000035,R003,2025-01-03 10:30:00,Boeing 737,160,Completed,10923.15,3643.83,1736.62,1333.74
